lost_pet_type,lost_breed,lost_color,lost_location,lost_date,found_pet_type,found_breed,found_color,found_location,found_date,match,lost_pet_type_encoded,lost_breed_encoded,lost_color_encoded,lost_location_encoded,found_pet_type_encoded,found_breed_encoded,found_color_encoded,found_location_encoded,date_diff
Bird,Finch,Orange,Staten Island,2025-12-15,Cat,Abyssinian,Spotted,Staten Island,2025-12-15,0,0,9,5,6,1,0,6,6,0
Dog,Yorkshire Terrier,Spotted,Manhattan,2025-12-25,Bird,Conure,Gray,Bronx Zoo,2025-12-26,0,2,23,6,3,0,8,3,0,1
Dog,German Shepherd,Mixed,Manhattan,2025-12-03,Cat,Bengal,White,Bronx Zoo,2025-12-07,0,2,10,4,3,1,2,8,0,4
Cat,Ragdoll,Mixed,Times Square,2025-12-28,Bird,Lovebird,Black,Central Park,2025-12-30,0,1,19,4,7,0,13,0,2,2
Cat,Siamese,White,Queens Plaza,2025-12-27,Bird,Macaw,Golden,Manhattan,2025-12-27,0,1,22,8,4,0,14,2,3,0
Cat,British Shorthair,Mixed,Staten Island,2025-12-24,Cat,Ragdoll,Mixed,Times Square,2025-12-26,0,1,3,4,6,1,19,4,7,2
Cat,Bengal,Black,Manhattan,2025-12-03,Bird,Cockatiel,Orange,Bronx Zoo,2025-12-12,0,1,2,0,3,0,7,5,0,9
Cat,Siamese,Black,Central Park,2025-12-23,Dog,Golden Retriever,Brown,Central Park,2026-01-01,0,1,22,0,2,2,11,1,2,9
Cat,Persian,Spotted,Bronx Zoo,2025-12-04,Cat,Siamese,White,Staten Island,2025-12-07,0,1,17,6,0,1,22,8,6,3
Cat,Ragdoll,Gray,Queens Plaza,2025-12-13,Cat,Ragdoll,Spotted,Manhattan,2025-12-19,0,1,19,3,4,1,19,6,3,6
Bird,Budgie,Striped,Queens Plaza,2025-12-28,Cat,Siamese,Spotted,Manhattan,2026-01-02,0,0,4,7,4,1,22,6,3,5
Bird,Lovebird,Golden,Queens Plaza,2025-12-18,Cat,Maine Coon,Orange,Brooklyn Bridge,2025-12-26,0,0,13,2,4,1,15,5,1,8
Dog,Golden Retriever,White,Staten Island,2025-12-28,Dog,Golden Retriever,White,Staten Island,2025-12-28,1,2,11,8,6,2,11,8,6,0
Dog,Poodle,Gray,Times Square,2025-12-05,Bird,Finch,Gray,Times Square,2025-12-07,0,2,18,3,7,0,9,3,7,2
Cat,Persian,Brown,Riverside Park,2025-12-05,Cat,Persian,Brown,Riverside Park,2025-12-05,1,1,17,1,5,1,17,1,5,0
Cat,Ragdoll,Brown,Brooklyn Bridge,2025-12-17,Cat,Ragdoll,Brown,Brooklyn Bridge,2025-12-25,1,1,19,1,1,1,19,1,1,8
Bird,Cockatiel,Golden,Riverside Park,2025-12-22,Bird,Lovebird,Mixed,Central Park,2025-12-22,0,0,7,2,5,0,13,4,2,0
Bird,Finch,White,Staten Island,2025-12-02,Bird,Finch,White,Staten Island,2025-12-10,1,0,9,8,6,0,9,8,6,8
Cat,Siamese,White,Riverside Park,2025-12-18,Cat,Abyssinian,White,Riverside Park,2025-12-18,1,1,22,8,5,1,0,8,5,0
Bird,Budgie,Golden,Staten Island,2025-12-22,Bird,Budgie,Mixed,Staten Island,2025-12-24,1,0,4,2,6,0,4,4,6,2
Cat,Russian Blue,White,Bronx Zoo,2025-12-22,Cat,Abyssinian,White,Central Park,2025-12-22,1,1,21,8,0,1,0,8,2,0
Cat,Maine Coon,Spotted,Central Park,2025-12-29,Dog,Beagle,Mixed,Times Square,2026-01-08,0,1,15,6,2,2,1,4,7,10
Bird,Finch,Golden,Manhattan,2025-12-03,Bird,Finch,Spotted,Manhattan,2025-12-12,1,0,9,2,3,0,9,6,3,9
Bird,Budgie,Orange,Brooklyn Bridge,2025-12-13,Dog,Yorkshire Terrier,Mixed,Queens Plaza,2025-12-22,0,0,4,5,1,2,23,4,4,9
Dog,Yorkshire Terrier,Striped,Times Square,2025-12-05,Bird,Macaw,Orange,Bronx Zoo,2025-12-09,0,2,23,7,7,0,14,5,0,4
Bird,Conure,Gray,Queens Plaza,2025-12-06,Dog,German Shepherd,Mixed,Bronx Zoo,2025-12-13,0,0,8,3,4,2,10,4,0,7
Cat,Persian,Black,Riverside Park,2025-12-15,Bird,Budgie,Gray,Bronx Zoo,2025-12-23,0,1,17,0,5,0,4,3,0,8
Bird,Parrot,Brown,Riverside Park,2025-12-09,Dog,Rottweiler,Orange,Times Square,2025-12-17,0,0,16,1,5,2,20,5,7,8
Bird,Lovebird,Spotted,Riverside Park,2025-12-28,Bird,Lovebird,Orange,Times Square,2026-01-05,0,0,13,6,5,0,13,5,7,8
Cat,British Shorthair,Gray,Central Park,2025-12-05,Dog,Beagle,Brown,Manhattan,2025-12-14,0,1,3,3,2,2,1,1,3,9
Bird,Finch,White,Central Park,2025-12-04,Bird,Canary,Spotted,Staten Island,2025-12-14,0,0,9,8,2,0,6,6,6,10
Dog,Yorkshire Terrier,Gray,Manhattan,2025-12-04,Cat,Ragdoll,Mixed,Staten Island,2025-12-08,0,2,23,3,3,1,19,4,6,4
Bird,Macaw,Spotted,Times Square,2025-12-30,Cat,Persian,Black,Manhattan,2026-01-03,0,0,14,6,7,1,17,0,3,4
Cat,Ragdoll,Orange,Queens Plaza,2025-12-19,Dog,Golden Retriever,Mixed,Queens Plaza,2025-12-22,0,1,19,5,4,2,11,4,4,3
Cat,British Shorthair,Orange,Manhattan,2025-12-14,Cat,Persian,Black,Riverside Park,2025-12-16,0,1,3,5,3,1,17,0,5,2
Cat,Ragdoll,Orange,Staten Island,2025-12-10,Dog,Labrador,Mixed,Staten Island,2025-12-20,0,1,19,5,6,2,12,4,6,10
Dog,German Shepherd,Golden,Bronx Zoo,2025-12-12,Dog,Poodle,Golden,Bronx Zoo,2025-12-13,0,2,10,2,0,2,18,2,0,1
Cat,Siamese,Striped,Queens Plaza,2025-12-02,Bird,Conure,Striped,Central Park,2025-12-03,0,1,22,7,4,0,8,7,2,1
Bird,Parrot,Striped,Central Park,2025-12-18,Cat,British Shorthair,White,Manhattan,2025-12-25,0,0,16,7,2,1,3,8,3,7
Bird,Macaw,Brown,Manhattan,2025-12-23,Cat,Maine Coon,Brown,Staten Island,2025-12-25,0,0,14,1,3,1,15,1,6,2
Bird,Macaw,White,Manhattan,2025-12-24,Dog,Yorkshire Terrier,Striped,Riverside Park,2025-12-24,0,0,14,8,3,2,23,7,5,0
Dog,Poodle,Golden,Manhattan,2025-12-17,Cat,Maine Coon,Black,Brooklyn Bridge,2025-12-18,0,2,18,2,3,1,15,0,1,1
Bird,Parrot,Striped,Manhattan,2025-12-11,Cat,Siamese,White,Central Park,2025-12-15,0,0,16,7,3,1,22,8,2,4
Cat,Ragdoll,Spotted,Brooklyn Bridge,2025-12-08,Cat,Persian,White,Bronx Zoo,2025-12-12,0,1,19,6,1,1,17,8,0,4
Bird,Canary,Orange,Times Square,2025-12-13,Bird,Cockatiel,Spotted,Bronx Zoo,2025-12-16,0,0,6,5,7,0,7,6,0,3
Cat,Siamese,Golden,Central Park,2025-12-23,Cat,Russian Blue,Mixed,Brooklyn Bridge,2025-12-28,0,1,22,2,2,1,21,4,1,5
Cat,Maine Coon,Striped,Riverside Park,2025-12-19,Cat,Maine Coon,Gray,Times Square,2025-12-22,0,1,15,7,5,1,15,3,7,3
Cat,Persian,Black,Bronx Zoo,2025-12-12,Bird,Parrot,Gray,Central Park,2025-12-22,0,1,17,0,0,0,16,3,2,10
Cat,Ragdoll,Spotted,Times Square,2025-12-24,Cat,Ragdoll,Orange,Riverside Park,2026-01-01,0,1,19,6,7,1,19,5,5,8
Dog,Labrador,Striped,Bronx Zoo,2025-12-08,Bird,Lovebird,Brown,Riverside Park,2025-12-08,0,2,12,7,0,0,13,1,5,0
Cat,Siamese,Mixed,Bronx Zoo,2025-12-02,Dog,Rottweiler,Spotted,Bronx Zoo,2025-12-09,0,1,22,4,0,2,20,6,0,7
Cat,Russian Blue,Gray,Staten Island,2025-12-05,Bird,Canary,Striped,Bronx Zoo,2025-12-10,0,1,21,3,6,0,6,7,0,5
Cat,Abyssinian,Black,Times Square,2025-12-02,Dog,Golden Retriever,Orange,Brooklyn Bridge,2025-12-09,0,1,0,0,7,2,11,5,1,7
Cat,Ragdoll,Orange,Manhattan,2025-12-07,Cat,Ragdoll,Orange,Manhattan,2025-12-11,1,1,19,5,3,1,19,5,3,4
Dog,Beagle,Black,Staten Island,2025-12-03,Bird,Conure,White,Brooklyn Bridge,2025-12-05,0,2,1,0,6,0,8,8,1,2
Cat,Russian Blue,Striped,Brooklyn Bridge,2025-12-30,Dog,Bulldog,Gray,Bronx Zoo,2026-01-02,0,1,21,7,1,2,5,3,0,3
Bird,Conure,Striped,Manhattan,2025-12-20,Bird,Finch,Striped,Manhattan,2025-12-29,1,0,8,7,3,0,9,7,3,9
Dog,Yorkshire Terrier,White,Riverside Park,2025-12-14,Cat,Russian Blue,Black,Times Square,2025-12-23,0,2,23,8,5,1,21,0,7,9
Bird,Cockatiel,Spotted,Staten Island,2025-12-13,Cat,Siamese,Mixed,Manhattan,2025-12-14,0,0,7,6,6,1,22,4,3,1
Dog,German Shepherd,Brown,Queens Plaza,2025-12-20,Cat,Persian,Brown,Brooklyn Bridge,2025-12-20,0,2,10,1,4,1,17,1,1,0
Bird,Finch,Orange,Times Square,2025-12-19,Bird,Finch,Striped,Times Square,2025-12-19,1,0,9,5,7,0,9,7,7,0
Bird,Parrot,Orange,Bronx Zoo,2025-12-06,Dog,Labrador,Black,Riverside Park,2025-12-11,0,0,16,5,0,2,12,0,5,5
Cat,Maine Coon,Brown,Times Square,2025-12-23,Cat,Maine Coon,Brown,Times Square,2025-12-30,1,1,15,1,7,1,15,1,7,7
Dog,Beagle,Orange,Staten Island,2025-12-28,Dog,Yorkshire Terrier,Orange,Staten Island,2026-01-02,1,2,1,5,6,2,23,5,6,5
Dog,Rottweiler,Golden,Queens Plaza,2025-12-03,Bird,Budgie,Spotted,Bronx Zoo,2025-12-05,0,2,20,2,4,0,4,6,0,2
Dog,Labrador,Gray,Staten Island,2025-12-21,Dog,Labrador,Gray,Staten Island,2025-12-27,1,2,12,3,6,2,12,3,6,6
Dog,German Shepherd,Spotted,Bronx Zoo,2025-12-05,Dog,German Shepherd,Spotted,Bronx Zoo,2025-12-05,1,2,10,6,0,2,10,6,0,0
Bird,Parrot,Brown,Queens Plaza,2025-12-18,Bird,Canary,Mixed,Central Park,2025-12-22,0,0,16,1,4,0,6,4,2,4
Cat,Persian,Golden,Bronx Zoo,2025-12-31,Cat,Abyssinian,Gray,Brooklyn Bridge,2026-01-03,0,1,17,2,0,1,0,3,1,3
Cat,Russian Blue,Golden,Riverside Park,2025-12-30,Bird,Macaw,Golden,Queens Plaza,2026-01-06,0,1,21,2,5,0,14,2,4,7
Bird,Parrot,White,Queens Plaza,2025-12-04,Bird,Parrot,Golden,Staten Island,2025-12-13,1,0,16,8,4,0,16,2,6,9
Dog,Yorkshire Terrier,Mixed,Manhattan,2025-12-24,Dog,Yorkshire Terrier,Mixed,Queens Plaza,2025-12-28,1,2,23,4,3,2,23,4,4,4
Bird,Canary,White,Riverside Park,2025-12-17,Bird,Canary,White,Riverside Park,2025-12-22,1,0,6,8,5,0,6,8,5,5
Bird,Lovebird,Orange,Queens Plaza,2025-12-11,Bird,Lovebird,Orange,Brooklyn Bridge,2025-12-11,1,0,13,5,4,0,13,5,1,0
Dog,Labrador,Golden,Riverside Park,2025-12-20,Cat,British Shorthair,Gray,Times Square,2025-12-27,0,2,12,2,5,1,3,3,7,7
Bird,Budgie,Mixed,Staten Island,2025-12-22,Cat,Persian,Brown,Queens Plaza,2025-12-29,0,0,4,4,6,1,17,1,4,7
Bird,Budgie,Golden,Riverside Park,2025-12-29,Cat,Abyssinian,Orange,Staten Island,2026-01-05,0,0,4,2,5,1,0,5,6,7
Cat,Abyssinian,White,Riverside Park,2025-12-16,Dog,Poodle,Striped,Times Square,2025-12-22,0,1,0,8,5,2,18,7,7,6
Bird,Macaw,Striped,Queens Plaza,2025-12-17,Bird,Macaw,Striped,Queens Plaza,2025-12-23,1,0,14,7,4,0,14,7,4,6
Dog,German Shepherd,Orange,Central Park,2025-12-08,Bird,Parrot,Gray,Central Park,2025-12-18,0,2,10,5,2,0,16,3,2,10
Cat,Russian Blue,Brown,Times Square,2025-12-29,Cat,Russian Blue,Brown,Times Square,2026-01-06,1,1,21,1,7,1,21,1,7,8
Bird,Parrot,Orange,Central Park,2025-12-16,Cat,Abyssinian,Orange,Staten Island,2025-12-26,0,0,16,5,2,1,0,5,6,10
Cat,British Shorthair,White,Bronx Zoo,2025-12-02,Cat,Maine Coon,Black,Times Square,2025-12-03,0,1,3,8,0,1,15,0,7,1
Bird,Canary,Gray,Times Square,2025-12-21,Bird,Canary,Gray,Bronx Zoo,2025-12-31,1,0,6,3,7,0,6,3,0,10
Cat,Ragdoll,Brown,Manhattan,2025-12-03,Dog,Rottweiler,Mixed,Bronx Zoo,2025-12-09,0,1,19,1,3,2,20,4,0,6
Cat,Abyssinian,Golden,Times Square,2025-12-05,Bird,Lovebird,White,Riverside Park,2025-12-09,0,1,0,2,7,0,13,8,5,4
Bird,Budgie,Gray,Bronx Zoo,2025-12-15,Dog,Golden Retriever,Striped,Manhattan,2025-12-18,0,0,4,3,0,2,11,7,3,3
Dog,German Shepherd,Brown,Bronx Zoo,2025-12-02,Cat,Ragdoll,Striped,Riverside Park,2025-12-10,0,2,10,1,0,1,19,7,5,8
Cat,Bengal,Striped,Bronx Zoo,2025-12-11,Bird,Budgie,Brown,Queens Plaza,2025-12-19,0,1,2,7,0,0,4,1,4,8
Dog,Rottweiler,Brown,Brooklyn Bridge,2025-12-20,Dog,Rottweiler,Brown,Queens Plaza,2025-12-22,1,2,20,1,1,2,20,1,4,2
Bird,Finch,Mixed,Times Square,2025-12-13,Bird,Finch,Mixed,Times Square,2025-12-23,1,0,9,4,7,0,9,4,7,10
Cat,Maine Coon,Striped,Brooklyn Bridge,2025-12-28,Cat,Maine Coon,Striped,Queens Plaza,2026-01-03,1,1,15,7,1,1,15,7,4,6
Dog,Golden Retriever,White,Manhattan,2025-12-29,Dog,Golden Retriever,White,Manhattan,2025-12-30,1,2,11,8,3,2,11,8,3,1
Cat,Abyssinian,Golden,Brooklyn Bridge,2025-12-03,Cat,Abyssinian,Golden,Brooklyn Bridge,2025-12-05,1,1,0,2,1,1,0,2,1,2
Dog,Rottweiler,Striped,Bronx Zoo,2025-12-02,Cat,British Shorthair,White,Riverside Park,2025-12-04,0,2,20,7,0,1,3,8,5,2
Bird,Macaw,Gray,Manhattan,2025-12-26,Cat,Abyssinian,Black,Times Square,2026-01-02,0,0,14,3,3,1,0,0,7,7
Dog,German Shepherd,Brown,Riverside Park,2025-12-12,Cat,Siamese,Black,Bronx Zoo,2025-12-14,0,2,10,1,5,1,22,0,0,2
Bird,Cockatiel,Spotted,Manhattan,2025-12-17,Cat,British Shorthair,Orange,Manhattan,2025-12-22,0,0,7,6,3,1,3,5,3,5
Dog,Bulldog,Mixed,Central Park,2025-12-23,Dog,Beagle,Black,Riverside Park,2025-12-31,0,2,5,4,2,2,1,0,5,8
Dog,German Shepherd,Brown,Queens Plaza,2025-12-04,Cat,Persian,Striped,Central Park,2025-12-11,0,2,10,1,4,1,17,7,2,7
Cat,Abyssinian,Golden,Central Park,2025-12-25,Cat,Maine Coon,Golden,Central Park,2025-12-25,1,1,0,2,2,1,15,2,2,0
Bird,Conure,Golden,Queens Plaza,2025-12-05,Bird,Canary,White,Manhattan,2025-12-06,0,0,8,2,4,0,6,8,3,1
Dog,Rottweiler,Striped,Bronx Zoo,2025-12-16,Cat,Russian Blue,Orange,Staten Island,2025-12-25,0,2,20,7,0,1,21,5,6,9
Dog,Beagle,Brown,Times Square,2025-12-20,Dog,Beagle,Striped,Staten Island,2025-12-22,0,2,1,1,7,2,1,7,6,2
Dog,Bulldog,Golden,Central Park,2025-12-08,Cat,Russian Blue,Mixed,Riverside Park,2025-12-09,0,2,5,2,2,1,21,4,5,1
Cat,Siamese,Orange,Central Park,2025-12-14,Bird,Budgie,Black,Manhattan,2025-12-20,0,1,22,5,2,0,4,0,3,6
Dog,Bulldog,Black,Riverside Park,2025-12-27,Dog,Bulldog,Black,Riverside Park,2025-12-29,1,2,5,0,5,2,5,0,5,2
Bird,Lovebird,Mixed,Riverside Park,2025-12-21,Cat,Siamese,Striped,Bronx Zoo,2025-12-22,0,0,13,4,5,1,22,7,0,1
Dog,Yorkshire Terrier,White,Riverside Park,2025-12-06,Cat,Russian Blue,White,Staten Island,2025-12-16,0,2,23,8,5,1,21,8,6,10
Cat,British Shorthair,Orange,Times Square,2025-12-27,Dog,Labrador,Spotted,Central Park,2026-01-05,0,1,3,5,7,2,12,6,2,9
Cat,Abyssinian,Golden,Manhattan,2025-12-04,Cat,Abyssinian,Mixed,Riverside Park,2025-12-13,0,1,0,2,3,1,0,4,5,9
Dog,Beagle,Striped,Bronx Zoo,2025-12-15,Dog,Rottweiler,Black,Manhattan,2025-12-21,0,2,1,7,0,2,20,0,3,6
Dog,Rottweiler,White,Staten Island,2025-12-11,Cat,Ragdoll,Mixed,Staten Island,2025-12-16,0,2,20,8,6,1,19,4,6,5
Bird,Budgie,White,Central Park,2025-12-08,Bird,Macaw,Golden,Times Square,2025-12-12,0,0,4,8,2,0,14,2,7,4
Bird,Budgie,Orange,Brooklyn Bridge,2025-12-30,Bird,Canary,Gray,Times Square,2026-01-03,0,0,4,5,1,0,6,3,7,4
Dog,Labrador,Brown,Central Park,2025-12-07,Dog,Labrador,Brown,Central Park,2025-12-13,1,2,12,1,2,2,12,1,2,6
Cat,British Shorthair,Striped,Times Square,2025-12-25,Cat,British Shorthair,Striped,Times Square,2025-12-29,1,1,3,7,7,1,3,7,7,4
Cat,Ragdoll,Mixed,Riverside Park,2025-12-04,Bird,Finch,Black,Staten Island,2025-12-06,0,1,19,4,5,0,9,0,6,2
Dog,Poodle,White,Riverside Park,2025-12-03,Dog,Labrador,White,Riverside Park,2025-12-10,1,2,18,8,5,2,12,8,5,7
Bird,Finch,Orange,Bronx Zoo,2025-12-11,Bird,Canary,Striped,Riverside Park,2025-12-17,0,0,9,5,0,0,6,7,5,6
Cat,Maine Coon,Orange,Manhattan,2025-12-24,Bird,Cockatiel,Spotted,Riverside Park,2025-12-27,0,1,15,5,3,0,7,6,5,3
Dog,Golden Retriever,Black,Brooklyn Bridge,2025-12-12,Cat,Bengal,Gray,Bronx Zoo,2025-12-14,0,2,11,0,1,1,2,3,0,2
Bird,Parrot,Brown,Riverside Park,2025-12-20,Dog,Poodle,Mixed,Manhattan,2025-12-26,0,0,16,1,5,2,18,4,3,6
Dog,German Shepherd,Orange,Queens Plaza,2025-12-30,Cat,British Shorthair,Orange,Riverside Park,2026-01-07,0,2,10,5,4,1,3,5,5,8
Bird,Macaw,Black,Manhattan,2025-12-24,Dog,German Shepherd,White,Bronx Zoo,2025-12-27,0,0,14,0,3,2,10,8,0,3
Cat,Russian Blue,Gray,Bronx Zoo,2025-12-20,Bird,Conure,Brown,Brooklyn Bridge,2025-12-25,0,1,21,3,0,0,8,1,1,5
Dog,Yorkshire Terrier,Golden,Riverside Park,2025-12-28,Dog,Labrador,Golden,Staten Island,2025-12-28,0,2,23,2,5,2,12,2,6,0
Dog,Labrador,Orange,Brooklyn Bridge,2025-12-06,Cat,Maine Coon,Spotted,Brooklyn Bridge,2025-12-06,0,2,12,5,1,1,15,6,1,0
Bird,Budgie,Gray,Manhattan,2025-12-02,Bird,Lovebird,Orange,Bronx Zoo,2025-12-03,0,0,4,3,3,0,13,5,0,1
Dog,Beagle,Orange,Brooklyn Bridge,2025-12-05,Dog,Yorkshire Terrier,White,Central Park,2025-12-15,0,2,1,5,1,2,23,8,2,10
Cat,Abyssinian,Black,Bronx Zoo,2025-12-30,Bird,Lovebird,White,Staten Island,2026-01-05,0,1,0,0,0,0,13,8,6,6
Dog,Golden Retriever,Orange,Manhattan,2025-12-18,Dog,Golden Retriever,Mixed,Riverside Park,2025-12-20,0,2,11,5,3,2,11,4,5,2
Dog,German Shepherd,Black,Riverside Park,2025-12-05,Dog,German Shepherd,Black,Riverside Park,2025-12-11,1,2,10,0,5,2,10,0,5,6
Dog,Poodle,Black,Bronx Zoo,2025-12-16,Dog,German Shepherd,Golden,Bronx Zoo,2025-12-21,0,2,18,0,0,2,10,2,0,5
Cat,Bengal,Spotted,Manhattan,2025-12-21,Cat,Bengal,Spotted,Manhattan,2025-12-27,1,1,2,6,3,1,2,6,3,6
Cat,Maine Coon,Mixed,Riverside Park,2025-12-14,Cat,Maine Coon,Spotted,Central Park,2025-12-18,0,1,15,4,5,1,15,6,2,4
Dog,Bulldog,Spotted,Bronx Zoo,2025-12-18,Dog,Rottweiler,Striped,Central Park,2025-12-21,0,2,5,6,0,2,20,7,2,3
Dog,Labrador,Spotted,Queens Plaza,2025-12-17,Dog,Bulldog,Brown,Manhattan,2025-12-26,0,2,12,6,4,2,5,1,3,9
Cat,Maine Coon,Striped,Brooklyn Bridge,2025-12-30,Cat,British Shorthair,Orange,Staten Island,2026-01-06,0,1,15,7,1,1,3,5,6,7
Cat,Maine Coon,White,Manhattan,2025-12-29,Cat,Abyssinian,Golden,Times Square,2026-01-06,0,1,15,8,3,1,0,2,7,8
